"Outcome","Feature","Coefficient_Pre","Coefficient_Post","Coefficient_Overall"
"bp_control_accaha","MCQ160A_1",0,0,0
"bp_control_accaha","MCQ160A_1",-0.195732694921765,-2.11941048231822,-1.22818811396145
"bp_control_accaha","MCQ160A_1",0,0.323807457700517,0.036801768600784
"bp_control_accaha","MCQ160A_1",0,0.289257998009685,0.168141868390436
"bp_control_accaha","MCQ160A_1",0,0,0
"bp_control_accaha","MCQ160A_1",0,0,0.303595963770159
"bp_control_accaha","MCQ220_1",0.138816271979639,-0.0991852187200942,0
"bp_control_accaha","MCQ220_1",0,0,0
"bp_control_accaha","MCQ220_1",0,0,0
"bp_control_accaha","MCQ220_1",0,0,0
"bp_control_accaha","MCQ220_1",0,0,0
"bp_control_accaha","MCQ220_1",0.440574598072585,0,0
"bp_control_accaha","MCQ220_1",-0.157275857528995,0,0
"bp_control_accaha","MCQ220_1",0,-0.0706889769978944,-0.197397077733239
"bp_control_accaha","MCQ220_1",0,-0.00709260051889816,0
"bp_control_accaha","MCQ220_1",0,0,0
"bp_control_accaha","OSQ010B_1",-0.356115455348554,0,-0.0875900712019736
"bp_control_accaha","OSQ010B_1",0,0,0
"bp_control_accaha","OSQ010B_1",-0.00851994493841902,-0.0110502628147903,0
"bp_control_accaha","OSQ010B_1",0.00357713517912092,0,0.0859823341612962
"bp_control_accaha","OSQ010B_1",-2.06414219907088,0,-0.86796634435685
"bp_control_accaha","OSQ010B_1",0.0575378969027545,0.185650466419682,0.263377544392871
"bp_control_accaha","OSQ010B_1",0,-2.44899331819213,-0.904543266532824
"bp_control_accaha","OSQ010B_1",0,0,0
"bp_control_accaha","OSQ010B_1",0,0,0
"bp_control_accaha","OSQ010B_1",0,0.059719958170579,0
"bp_control_accaha","WHQ030_3",0,0,0
"bp_control_accaha","WHQ030_3",0,0,0
"bp_control_accaha","WHQ030_3",-0.0898788143974149,-0.0265194266968889,-0.103160680845583
"bp_control_accaha","WHQ030_3",0,0,0
"bp_control_accaha","WHQ030_3",0,0,0
"bp_control_accaha","WHQ030_3",0.0106462414320376,0,0
"bp_control_accaha","WHQ030_3",0,0,-0.0326471705998551
"bp_control_accaha","WHQ030_3",0,0,0
"bp_control_accaha","WHQ030_3",0,-0.109321989753501,0
"bp_control_accaha","WHQ030_3",0,0,0
"bp_control_accaha","WHQ070_1",0,0,0
"bp_control_accaha","WHQ070_1",0,0,0
