"","source","Feature","Gain","Cover","Frequency","Importance"
"66","xgb5","bp_med_recommended_accaha_No",6.15631175563913e-10,7.16162632108309e-05,0.00368324125230203,0.00368324125230203
"67","xgb5","LBXGH",3.74707224406333e-10,2.9489049557401e-05,0.00368324125230203,0.00368324125230203
"68","xgb5","WHD120",2.62981015632346e-10,3.58081316054155e-05,0.00184162062615101,0.00184162062615101
"69","xgb5","BPXDI1",1.89603089696796e-10,2.9489049557401e-05,0.00184162062615101,0.00184162062615101
"70","xgb5","DIQ010_1",1.76659574190236e-10,1.47445247787005e-05,0.00184162062615101,0.00184162062615101
"71","xgb6","bp_cat_meds_excluded_SBP120andDBP80mmHg",0.50510308833469,0.0906420581490122,0.0214772132006286,0.0214772132006286
"72","xgb6","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0.488466677599273,0.0932465905434174,0.0256678889470927,0.0256678889470927
"73","xgb6","bp_med_recommended_accaha_No",0.00403213648358003,0.0218007002817013,0.0309062336301729,0.0309062336301729
"74","xgb6","demo_age_cat_65to74",0.00111963168267526,0.0131949579634218,0.0429544264012572,0.0429544264012572
"75","xgb6","demo_age_years",0.000161387005971364,0.0201068901427225,0.102147721320063,0.102147721320063
"76","xgb6","bp_sys_mean",0.000143920213409661,0.159666747279675,0.0921948664222106,0.0921948664222106
"77","xgb6","DR1EXMER",0.000140153501462724,0.0104111544528936,0.0240963855421687,0.0240963855421687
"78","xgb6","WHD130",0.00011119149675225,0.000147310469984945,0.00995285489785228,0.00995285489785228
"79","xgb6","bp_dia_mean",0.000108776437782644,0.027475953257503,0.036144578313253,0.036144578313253
"80","xgb6","WHD140",7.90418893594293e-05,3.58125806889195e-05,0.00261917234154007,0.00261917234154007
"81","xgb6","BMXARML",7.21846910624362e-05,0.000876367163486409,0.0146673651126244,0.0146673651126244
"82","xgb6","bp_med_n_class_One",6.30514856937306e-05,5.39270837118033e-05,0.00419067574646412,0.00419067574646412
"83","xgb6","LBXPLTSI",5.63961777473923e-05,0.00582141827605524,0.00733368255631221,0.00733368255631221
"84","xgb6","WHD120",4.44626604143319e-05,0.00348735415092275,0.00942902042954426,0.00942902042954426
"85","xgb6","HOD050",3.88819205111577e-05,2.30075009658466e-05,0.0036668412781561,0.0036668412781561
"86","xgb6","demo_race_Other",3.85609888346514e-05,0.0234490159504445,0.0314300680984809,0.0314300680984809
"87","xgb6","BMXHT",3.09621760891807e-05,0.000880323204376464,0.00838135149292824,0.00838135149292824
"88","xgb6","WHD010",3.08983382434914e-05,0.000825875588968601,0.00785751702462022,0.00785751702462022
"89","xgb6","LBXMPSI",1.98778896522002e-05,0.0815184908994923,0.0267155578837087,0.0267155578837087
"90","xgb6","DSDCOUNT_x",1.7432441674573e-05,0.0591507233881033,0.0513357778941854,0.0513357778941854
"91","xgb6","WHD110",1.60594818346973e-05,0.000535627115245613,0.00314300680984809,0.00314300680984809
"92","xgb6","BPXML1",1.42550503219194e-05,0.00713857167976515,0.0151911995809324,0.0151911995809324
"93","xgb6","LBXMC",1.09789023995557e-05,0.0446041528226924,0.0309062336301729,0.0309062336301729
"94","xgb6","bp_med_angioten_No",1.0234433353907e-05,0.00436569933485419,0.00576217915138816,0.00576217915138816
"95","xgb6","WHD020",9.67960722836762e-06,0.0125329457523729,0.00576217915138816,0.00576217915138816
"96","xgb6","demo_gender_Men",7.94284889388053e-06,5.72584865665865e-06,0.000523834468308015,0.000523834468308015
"97","xgb6","LBXMCVSI",6.99583972993446e-06,0.000845551687079664,0.0115243583027763,0.0115243583027763
"98","xgb6","BPXSY1",5.09099518611559e-06,0.0725463983735258,0.036668412781561,0.036668412781561
"99","xgb6","SLQ050_1",5.00156249815755e-06,1.14516973133173e-06,0.000523834468308015,0.000523834468308015
"100","xgb6","demo_race_NonplusHispanicAsian",4.78627160247037e-06,0.00319668925184292,0.00785751702462022,0.00785751702462022
"101","xgb6","BPXDI2",3.94405835916898e-06,0.0101094542818573,0.0172865374541645,0.0172865374541645
"102","xgb6","LBDNENO",2.6162397269462e-06,0.000507622509997592,0.00419067574646412,0.00419067574646412
"103","xgb6","BMXBMI",2.37585409105216e-06,9.03643024359946e-05,0.00419067574646412,0.00419067574646412
"104","xgb6","BPAEN2_1",2.26156130120262e-06,0.0020620342607716,0.0115243583027763,0.0115243583027763
"105","xgb6","INDFMMPC_1",1.99474813079874e-06,2.19664375737268e-05,0.0036668412781561,0.0036668412781561
"106","xgb6","BPXSY2",1.98120035377252e-06,0.0509518286434642,0.0277632268203248,0.0277632268203248
"107","xgb6","BMXLEG",1.62492944974772e-06,0.00270124718353313,0.00680984808800419,0.00680984808800419
"108","xgb6","BMXARMC",1.43387332557572e-06,2.5506053106934e-05,0.00209533787323206,0.00209533787323206
"109","xgb6","LBDTCSI",1.2488791644146e-06,0.00613540299511856,0.0162388685175485,0.0162388685175485
"110","xgb6","LBXWBCSI",1.15859208473433e-06,0.0277055077354654,0.0230487166055526,0.0230487166055526
"111","xgb6","DS1DSCNT",1.09553613016427e-06,0.00449864313002788,0.00680984808800419,0.00680984808800419
"112","xgb6","LBXRDW",9.14155034021701e-07,0.00332973715335582,0.0146673651126244,0.0146673651126244
"113","xgb6","BPXSY3",7.23241223970527e-07,0.0527157023487327,0.0209533787323206,0.0209533787323206
"114","xgb6","LBDHDD",6.6858677110243e-07,0.00132183818897445,0.00628601361969618,0.00628601361969618
"115","xgb6","URXUCR",5.68639417011951e-07,0.0180678633829168,0.0141435306443164,0.0141435306443164
"116","xgb6","DR1DAY",5.20889252343031e-07,2.18623312345148e-05,0.0115243583027763,0.0115243583027763
"117","xgb6","LBXGH",4.97375785778733e-07,0.000366662526704577,0.00419067574646412,0.00419067574646412
"118","xgb6","BMXWT",4.67003457966547e-07,0.000159074486315898,0.00680984808800419,0.00680984808800419
"119","xgb6","LBDLYMNO",4.13527773644718e-07,0.00133058312146826,0.00680984808800419,0.00680984808800419
"120","xgb6","BPXDI1",3.70294421896349e-07,0.00369494219131143,0.00471451021477213,0.00471451021477213
"121","xgb6","BPQ060_2",3.1006918492817e-07,8.74493249380593e-06,0.000523834468308015,0.000523834468308015
"122","xgb6","WHQ030_1",3.03278286658186e-07,1.35338240975568e-06,0.000523834468308015,0.000523834468308015
"123","xgb6","bp_med_ccb_No",2.49793628485489e-07,1.20763353485891e-05,0.00104766893661603,0.00104766893661603
"124","xgb6","LBXRBCSI",1.87794027981911e-07,0.000171463140682123,0.00576217915138816,0.00576217915138816
"125","xgb6","cc_cvd_any_No",1.82196550477974e-07,0.000630051564910875,0.00104766893661603,0.00104766893661603
"126","xgb6","cc_diabetes_No",1.52061573416298e-07,0.000603816767429457,0.00104766893661603,0.00104766893661603
"127","xgb6","bp_med_ace_No",1.44889413233714e-07,0.000618079335901498,0.00104766893661603,0.00104766893661603
"128","xgb6","LBXEOPCT",1.37295634159484e-07,0.00695628147980498,0.0115243583027763,0.0115243583027763
"129","xgb6","bp_med_ccb_dh_No",1.25301752925714e-07,0.000571543802273745,0.00104766893661603,0.00104766893661603
"130","xgb6","DPQ080_0",1.03030999932587e-07,7.91208178011013e-06,0.000523834468308015,0.000523834468308015
