"","Year","Feature","Gain_mean","Gain_sd","Cover_mean","Cover_sd","Frequency_mean","Frequency_sd","Count"
"109","post2013","bp_med_angioten_No",7.82229265577176e-07,7.99234537692222e-07,0.00212404548922949,0.002928401719703,0.00736010559893924,0.00605236825283859,3
"110","post2013","DIQ010_3",2.1861934477943e-08,3.82011350785101e-09,0.000390013048601289,0.000374254368222648,0.00694342512524331,0.00654331556667726,3
"111","post2013","LBXPLTSI",3.82436969658847e-06,7.77899139927297e-06,0.00110447714924254,0.00195168847390526,0.00669235921986962,0.00964475540101504,3
"112","post2013","LBDMONO",1.34423720935653e-05,2.89538017624081e-05,0.000843252148128939,0.0015584375859164,0.00668799249662311,0.0062170055830066,3
"113","post2013","DS1DSCNT",2.04692052711328e-07,2.7415772266682e-07,0.00289403490983806,0.00326663116740103,0.00660388580846247,0.00564993160497156,3
"114","post2013","demo_race_Other",1.02209320666151e-05,1.42809173951349e-05,0.000134205186800583,6.02250136108059e-06,0.0064976241260325,0.00144415651725917,2
"115","post2013","LBXHGB",2.03604732836108e-05,4.5335475469216e-05,0.00127452176274775,0.00164516208888172,0.00635816015473462,0.00579978103948662,3
"116","post2013","HOD050",5.08931759830662e-05,9.5398964023721e-05,0.000926009092729721,0.00118537930345608,0.00616147325324048,0.00600057427505853,3
"117","post2013","BMXWT",3.85645410450895e-05,0.000100228033417621,7.70853730880415e-05,7.89026979153632e-05,0.00614103824305328,0.00487730841127264,3
"118","post2013","demo_gender_Men",0.000504052446656503,0.000507962558172183,0.000117989660905374,0.000138554141937293,0.00607295714367808,0.00464947063000482,2
"119","post2013","WHD050",3.33116594058317e-06,3.98613907118316e-06,0.000775197789725958,0.000983979742656102,0.00597082596141718,0.00176690519497564,2
"120","post2013","LBXHCT",8.23000238701848e-05,0.000116146053235338,4.95847950118514e-05,3.05302610342304e-05,0.0059485947912174,0.00707715985915562,3
"121","post2013","BPXDI2",5.31604174421773e-07,8.38876995444752e-07,0.00415902081184094,0.00241693751760437,0.0058555780514039,0.00387331769644481,3
"122","post2013","BPQ090D_1",3.53196843160241e-05,7.73982113116199e-05,0.000122701188329852,0.000109566154233464,0.00569623543160326,0.00477463189420765,3
"123","post2013","bp_cat_meds_included_takingantihypertensivemedications",3.46063873217474e-08,5.33658872655929e-08,0.00698518888524124,0.00622744090708895,0.00565829012713829,0.00446714376366976,3
"124","post2013","BPXDI3",1.64696710511635e-07,3.50439166490893e-07,0.0030986893596715,0.00371964053533116,0.0054134540174745,0.00300015067642129,3
"125","post2013","LBXBAPCT",1.24260359399113e-07,2.56191256136939e-07,0.00443841488356208,0.00565466920795506,0.00535987674948303,0.00606659895957336,3
"126","post2013","WHD110",9.9514838779389e-05,0.00020184690908661,9.92558718082767e-05,5.34154349878545e-05,0.00514594204532933,0.00239641079318353,3
"127","post2013","LBDEONO",2.41092504476252e-06,4.15499656213359e-06,0.00909685364628494,0.0157127796727141,0.00487276017096515,0.00458766365526323,2
"128","post2013","LBXMCVSI",3.76980141299554e-05,8.27131504142328e-05,0.000195354086280416,0.000246520176985017,0.00479804874527143,0.00467402204569032,3
"129","post2013","LBDHDD",6.35095750991285e-05,0.000126575601938034,0.00171206942711649,0.0011333546172174,0.00420067528713336,0.00269061546785015,3
"130","post2013","bp_cat_meds_included_SBPof130to140orDBP80to90mmHg",1.13000930397839e-06,1.5610705328665e-06,0.00242177260707911,0.00308934319647861,0.00415051930115107,0.00272471305427631,3
"131","post2013","LBXRDW",6.97726661098237e-07,7.44755853481201e-07,0.000917559995950179,0.00195961908958599,0.00408243413273691,0.00316394472550666,3
"132","post2013","DPQ080_1",3.42792383283004e-07,5.89977240933286e-07,0.000323877432409808,0.000420702091272211,0.00387852828954817,0.0046668961974646,2
"133","post2013","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",5.51191980741199e-09,8.15361972627559e-09,0.00302454639825512,0.000714462755200593,0.00382600387559583,0.0015388234586188,3
"134","post2013","BPXDI1",9.1946446006902e-09,8.45227941038349e-09,0.00243690609798588,0.00186585715350703,0.00382507656736093,0.00209958926007113,3
"135","post2013","URXUMA",2.46524070555168e-05,6.2973350635977e-05,0.00149016267196079,0.00372688892582233,0.0037765723942997,0.00217803322138004,3
"136","post2013","BPAEN2_1",3.00016198578212e-05,5.92479243900142e-05,0.000219477101437653,0.000238389400343107,0.0036662998317719,0.00314506260719525,3
"137","post2013","BPXSY1",3.53468638566441e-06,8.64981159675837e-06,0.00614275639742797,0.00421994405910073,0.0032405672615813,0.00175857195779178,3
"138","post2013","LBXMOPCT",3.29290736332359e-07,3.55408712935692e-07,0.000768354539457772,0.0018456582210418,0.00316732425437964,0.00451223492116865,3
"139","post2013","LBDTCSI",6.60164549462204e-07,1.30133476043806e-06,0.000383525152877467,0.000575120286129747,0.00293364655863331,0.00139782562146375,3
"140","post2013","ALQ130",1.27425995386888e-07,1.34344283293063e-07,2.83037049388156e-05,2.44719037474505e-05,0.00280396281548906,0.00241642791305876,2
"141","post2013","LBXWBCSI",2.13181930255331e-05,4.70076675156391e-05,0.000113218823877154,0.000174251453711446,0.00279701501337999,0.00224690802328208,3
"142","post2013","HSQ590_9",5.20909263667591e-09,6.96585222011095e-09,0.00165182926710929,0.000746523605149376,0.00269496310877843,0.000865904680477335,3
"143","post2013","MCQ080_1",5.88815975442699e-06,8.11066930983335e-06,4.95114381118676e-05,5.87073962535365e-05,0.00262731594542672,0.00238016227101558,3
"144","post2013","BMXBMI",1.0320665088157e-07,2.04785380437416e-07,0.000425788005088192,0.000590450671411956,0.00259836927493315,0.00191826083535702,3
"145","post2013","BMXWAIST",1.75244782899156e-08,1.44521001675972e-08,1.89441784912617e-05,1.70948132787624e-05,0.00246948041578808,0.00215694912437627,3
